source,in_training_pool,train_cap,use_s,default_bin,n_traces,n_traces_source,native_rates_hz,dominant_rate_hz,mag_median,n_p,n_s,n_both,pick_counts_source,status_columns,status_values_seen,status_exposed,heldout_overlap_documented,heldout_overlap_counts,pick_status_counts,label_policy,server_required,server_command
geofon,True,150000.0,False,teleseismic,275274,summary_statistics.csv (2026-04-06 audit),"[19.9999275208, 19.9999294281, 19.9999313354, 19.9999790192, 19.9999809265, 19.9999885559, 19.9999980927, 20.0, 25.0, 40.0, 50.0, 80.0, 100.0, 125.0, 200.0]",20.0,5.3980952,274474.0,2648.0,2583.0,benchmark_pool_summary.csv,trace_P_status;trace_S_status;trace_pP_status,trace_P_status = manual,yes,none documented,server,server,supervises P; S masked by the teleseismic P-only rule,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
stead,True,100000.0,True,,1265657,summary_statistics.csv (2026-04-06 audit),no rate column found by audit_metadata.py; server,,1.3,1030231.0,1030231.0,1030231.0,benchmark_pool_summary.csv,trace_p_status;trace_s_status;trace_p_weight;trace_s_weight,NaN in the sampled rows (noise rows),yes,year 2016; Kaikoura 2016 and Norcia 2016 possible (global 2005-2018),server,server,"supervises P and S; needs review: status column present, values unverified",yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
ceed,True,100000.0,True,,5009718,"data/README.md (2026-07-20 row count); summary_statistics.csv counted 1,962 rows, a partial copy",[100],100.0,1.92,,,,"server (summary_statistics.csv counted a 1,962-row partial copy)",not recorded,metadata.csv absent when the notebook ran,unknown,Ridgecrest 2019,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
instancecounts,True,100000.0,True,,1159249,summary_statistics.csv (2026-04-06 audit),no rate column found by audit_metadata.py; server,,2.2,1159249.0,713883.0,713883.0,benchmark_pool_summary.csv,trace_P_uncertainty_s;trace_S_uncertainty_s;path_weight_phase_location_P;path_weight_phase_location_S,"no status column; uncertainties 0.1 s (P) 0.6 s (S), location weights",no,Norcia 2016 sequence and year 2016 (Italy 2005-01 to 2020-01); Etna and Campi Flegrei place hold-outs,server,server,supervises P and S; provenance by uncertainty/weight columns only,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
mlaapde,True,80000.0,True,,510196,"data/README.md (2026-07-20 row count, partial shard)",server,,,,,,server,not recorded,no record in the repository,unknown,none documented,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
ethz,True,60000.0,True,local,36743,summary_statistics.csv (2026-04-06 audit),"[100.0, 120.0, 200.0, 250.0, 500.0]",200.0,2.062558357,1674.0,86.0,57.0,benchmark_pool_summary.csv,trace_P_status;trace_PmP_status;trace_SmS_status,NaN in the sampled rows,yes,none documented,server,server,"supervises P; S present on 86 traces only, unknown-S mask needed",yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
crew,True,30000.0,True,,1599323,data/README.md (2026-07-20 row count),server,,,,,,server,not recorded,no record in the repository,unknown,Thessaly 2021 and year 2021 possible (global regional),server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
cwa,True,30000.0,True,,346959,"data/README.md (2026-07-20 row count, partial shard)",server,,,,,,server,not recorded,no record in the repository,unknown,none documented,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
iquique,True,13400.0,True,regional,13400,summary_statistics.csv (2026-04-06 audit),[100.0],100.0,,13327.0,11361.0,11288.0,benchmark_pool_summary.csv,none,no status column,no,none documented,server,server,supervises P and S; provenance by uncertainty/weight columns only,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
txed,True,40000.0,True,local,519689,summary_statistics.csv (2026-04-06 audit),no rate column found by audit_metadata.py; server,,2.005621169,312231.0,312231.0,312231.0,benchmark_pool_summary.csv,trace_p_arrival_uncertainty_s;trace_s_arrival_uncertainty_s,no status column,no,none documented,server,server,supervises P and S; provenance by uncertainty/weight columns only,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
pnw,True,40000.0,True,regional,183909,summary_statistics.csv (2026-04-06 audit),[100],100.0,,183909.0,183909.0,183909.0,benchmark_pool_summary.csv,trace_P_arrival_uncertainty_s;trace_S_arrival_uncertainty_s;trace_P_onset,no status column; uncertainties 0.01-0.08 s,no,Monroe 2019,server,server,supervises P and S; provenance by uncertainty/weight columns only,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
lendb,True,40000.0,False,,1244942,summary_statistics.csv (2026-04-06 audit),no rate column found by audit_metadata.py; server,,2.11,629095.0,0.0,0.0,benchmark_pool_summary.csv,trace_p_status,trace_p_status = estimated,yes,none documented,server,server,supervises P; S masked (use_s=False); needs review: P status 'estimated',yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
pisdl,True,10000.0,True,local,142001,data/README.md (2026-07-20 row count),server,,,,,,server,not recorded,no record in the repository,unknown,none documented,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
vcseis,True,30000.0,True,local,160278,summary_statistics.csv (2026-04-06 audit),[100],100.0,0.81,147863.0,147863.0,,summary_statistics.csv,not recorded,metadata.csv absent when the notebook ran,unknown,Hawaii is tier 2 (usable only if VCSEIS ends before 2022),server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
aq2009gm,True,60000.0,True,local,258984,"data/README.md (2026-07-20 row count, partial shard)",server,,,,,,server,not recorded,no record in the repository,unknown,none documented,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
obst2024,True,60000.0,True,regional,60394,summary_statistics.csv (2026-04-06 audit),no rate column found by audit_metadata.py; server,,,35394.0,35394.0,35394.0,benchmark_pool_summary.csv,trace_p_status;trace_s_status;trace_p_weight;trace_s_weight,NaN in the sampled rows,yes,none documented,server,server,"supervises P and S; needs review: status column present, values unverified",yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
scedc,True,60000.0,True,local,8035833,summary_statistics.csv (2026-04-06 audit),"[40.0, 100.0]",100.0,1.35,7501488.0,4317447.0,3783102.0,benchmark_pool_summary.csv,trace_p_status;trace_s_status;trace_p_weight;trace_s_weight,status NaN; weights 1.0/0.3/0.5,yes,Ridgecrest 2019,server,server,"supervises P and S; needs review: status column present, values unverified",yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
meier2019jgr,True,150000.0,False,regional,1060433,data/README.md (2026-07-20 row count),server,,,,,,server,not recorded,no record in the repository,unknown,none documented,server,server,supervises P; S masked (use_s=False),yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
ross2018gpd,True,200000.0,True,local,4773750,data/README.md (2026-07-20 row count),server,,,,,,server,not recorded,no record in the repository,unknown,Ridgecrest 2019,server,server,supervises P and S; needs review: columns not recorded,yes,python scripts/source_census.py seisbench --cache-root $SEISBENCH_CACHE_ROOT
