source,trace_id,station,event_id,rate_hz,p_s,s_s,distance_km,p_status,s_status,flagged_multiplet,reasons,c1_residual_s,c2_residual_s,c2_late_kind,c2s_residual_s,c6_triggers_json,c6_n_extra_triggers,c6_class,suggested_tier,suggested_extra_arrival_s,window_start_time
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HT.TYRN:noa2021eigzj,HT.TYRN,noa2021eigzj,100.0,12.607793000000001,13.96543,5.228683072206657,unknown,unknown,False,unlabelled_arrival,0.14015417683437348,0.10220699999999994,,0.34457000000000093,"[12.78, 34.43, 59.32, 70.01, 78.69, 92.66]",5,second_event,manual,"[34.43, 59.32, 70.01, 78.69, 92.66]",2021-03-03T10:26:08+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HL.THL:noa2021eigzj,HL.THL,noa2021eigzj,100.0,14.143834,16.642566,19.901177751348783,unknown,unknown,False,unlabelled_arrival,-0.45998382050077824,0.0961660000000002,,0.3874340000000025,"[14.37, 37.88, 80.0, 82.5, 97.02]",4,second_event,manual,"[37.88, 80.0, 82.5, 97.02]",2021-03-03T10:26:08+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HT.AGG:noa2021eigzj,HT.AGG,noa2021eigzj,100.0,23.428986,32.181788,73.10031222286867,unknown,unknown,False,unlabelled_arrival;c2_p_emergent,-0.5192293402646193,1.2410140000000034,,3.468212000000001,"[22.97, 25.19, 105.57]",2,second_event,manual,"[25.19, 105.57]",2021-03-03T10:26:08+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HL.TETR:noa2021eigzj,HL.TETR,noa2021eigzj,100.0,25.929787,36.836056,87.41847753690277,unknown,unknown,False,unlabelled_arrival,-0.06494591138133998,0.3502130000000001,,1.7539440000000042,"[27.89, 39.68]",1,wrong_first_pick,manual,[27.89],2021-03-03T10:26:08+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HL.KZN:noa2021eiham,HL.KZN,noa2021eiham,100.0,30.003191,38.875653,70.21060298751453,unknown,unknown,False,unlabelled_arrival,-0.05663808124323566,0.01680899999999852,,1.584347000000001,"[25.25, 30.26, 40.83, 89.12, 104.76, 114.51]",4,second_event,manual,"[25.25, 89.12, 104.76, 114.51]",2021-03-03T10:27:21.130000+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HL.TETR:noa2021eiham,HL.TETR,noa2021eiham,100.0,30.003263,,90.01643287545032,unknown,unknown,False,unlabelled_arrival,,-2.5932630000000003,,,"[44.09, 94.51, 118.48]",3,wrong_first_pick,manual,"[44.09, 94.51, 118.48]",2021-03-03T10:27:23.750000+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HT.TYRN:noa2021eihcx,HT.TYRN,noa2021eihcx,100.0,29.99727,32.481003,11.237791825164575,unknown,unknown,False,unlabelled_arrival;c2_p,0.553129560740373,-0.5772699999999986,suspect_pick,0.6889970000000005,"[29.99, 56.29, 71.47, 93.53, 99.05, 100.39, 119.54]",6,second_event,unknown,"[56.29, 71.47, 93.53, 99.05, 100.39, 119.54]",2021-03-03T10:30:03.120000+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HT.LIT:noa2021eihcx,HT.LIT,noa2021eihcx,100.0,30.00478,35.507446,43.77763554493888,unknown,unknown,False,unlabelled_arrival;c2_p_emergent,-0.28954726444804546,0.6352200000000003,,1.5525540000000007,"[31.16, 37.55, 80.47]",2,wrong_first_pick,manual,"[31.16, 80.47]",2021-03-03T10:30:08.800000+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HL.KZN:noa2021eihga,HL.KZN,noa2021eihga,100.0,30.00129,,77.0064302122991,unknown,unknown,False,unlabelled_arrival,,-0.1212900000000019,,,"[30.19, 42.21]",1,second_event,manual,[42.21],2021-03-03T10:33:51.750000+00:00
thessaly_2021,thessaly_2021:20210303T102608_20210303T132608:HT.AGG:noa2021eihhv,HT.AGG,noa2021eihhv,100.0,29.998899,39.100617,72.2841526554194,unknown,unknown,False,unlabelled_arrival,-0.07345701139822225,0.45110099999999775,,2.9593830000000025,"[42.19, 85.16, 96.56]",3,wrong_first_pick,manual,"[42.19, 85.16, 96.56]",2021-03-03T10:35:56.380000+00:00
