station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
KO.GAZ,KO,GAZ,HH,100.0,37.1721,37.2096,992.0,18.81335979884159,KOERI,143,109,252,True
KO.SARI,KO,SARI,HH,100.0,38.4072,36.4181,1673.0,140.8388852635321,KOERI,157,60,217,True
KO.URFA,KO,URFA,HH,100.0,37.4409,38.8213,938.0,161.83682975677033,KOERI,125,53,178,True
KO.BNN,KO,BNN,HH,100.0,38.8521,35.8472,1380.0,207.11513059366345,KOERI,143,21,164,True
KO.KOZT,KO,KOZT,HH,100.0,37.4795,35.8264,381.0,108.22667849256284,KOERI,89,41,130,True
KO.DARE,KO,DARE,HH,100.0,38.5712,37.4832,1080.0,154.7987022180204,KOERI,76,43,119,True
TU.ANDN,TU,ANDN,HH,100.0,37.58,36.3452,1142.0,70.44368680842028,eida,73,36,109,False
KO.CEYT,KO,CEYT,HH,100.0,37.0105,35.7478,100.0,114.5357399511562,KOERI,80,28,108,False
KO.CMRD,KO,CMRD,EH,100.0,37.6623,34.9902,1234.0,184.66205140075127,KOERI,79,15,94,False
KO.KMRS,KO,KMRS,HH,100.0,37.5087,36.9,590.0,32.477405178596314,KOERI,41,27,68,False
KO.MERS,KO,MERS,HH,100.0,36.8678,34.522,750.0,224.428638325138,KOERI,58,10,68,False
IU.ANTO,IU,ANTO,BH,,39.8681,32.79356,1080.0,469.45447253089424,IRIS,61,0,61,True
KO.TAHT,KO,TAHT,HH,100.0,36.3755,36.1855,278.0,120.06371302581792,KOERI,39,13,52,False
TU.KEMA,TU,KEMA,BH,50.0,39.2688,38.4932,1026.0,261.07179926972896,eida,26,24,50,False
KO.DYBB,KO,DYBB,HH,100.0,37.9532,40.1393,657.0,287.1759923376013,KOERI,39,8,47,False
KO.MAZI,KO,MAZI,HH,100.0,37.4593,40.4465,1204.0,304.82421622883777,KOERI,29,8,37,False
KO.GULA,KO,GULA,HH,100.0,38.3444,34.236,1126.0,273.42696891648563,KOERI,35,1,36,False
KO.SVSK,KO,SVSK,HH,100.0,39.9157,36.9925,1630.0,298.6268558377068,KOERI,34,1,35,False
GE.ARPR,GE,ARPR,BH,20.0,39.09289,38.33557,1537.0,237.3424176229014,eida,20,6,26,False
KO.KOZK,KO,KOZK,EH,100.0,39.2101,34.868,1134.0,288.9190376594484,KOERI,26,0,26,False
KO.YOZ,KO,YOZ,HH,100.0,39.6376,35.3152,1422.0,305.6858368504921,KOERI,24,1,25,False
KO.IKL,KO,IKL,HH,100.0,36.2366,33.6845,126.0,316.2310091716098,KOERI,22,2,24,False
KO.YESY,KO,YESY,HH,100.0,37.7825,33.7431,1206.0,294.61723548730464,KOERI,15,1,16,False
KO.KRMN,KO,KRMN,EH,100.0,37.174,33.2636,1068.0,331.8322514061887,KOERI,16,0,16,False
KO.SULT,KO,SULT,HH,100.0,38.1988,33.5157,982.0,325.65907021173024,KOERI,8,0,8,False
KO.KARA,KO,KARA,BH,50.0,37.2607,35.0547,366.0,173.09989983891182,KOERI,0,0,0,False
GE.MALT,GE,MALT,HH,80.0,38.3134,38.427299,1120.0,173.28283224201266,eida,0,0,0,False
MN.ARPR,MN,ARPR,BH,20.0,39.09289,38.33557,1537.0,237.3424176229014,INGV,0,0,0,False
KO.SVRC,KO,SVRC,HH,100.0,38.3775,39.306,1680.0,238.66396059682612,KOERI,0,0,0,False
KO.ILIC,KO,ILIC,BH,50.0,39.4518,38.5675,1295.0,281.90838148918937,KOERI,0,0,0,False
KO.EREN,KO,EREN,HH,100.0,35.5292,34.1742,88.0,316.5296859678256,KOERI,0,0,0,False
