source,trace_id,station,event_id,rate_hz,p_s,s_s,distance_km,p_status,s_status,flagged_multiplet,reasons,c1_residual_s,c2_residual_s,c2s_residual_s,c6_triggers_json,c6_n_extra_triggers,c6_class,suggested_tier,suggested_extra_arrival_s,window_start_time
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viqle,HT.CHOS,noa2020viqle,100.0,30.000391,37.895679,60.01243990378526,unknown,unknown,False,unlabelled_arrival,0.025294784765126366,0.7896089999999987,0.8343209999999956,"[23.38, 39.91, 41.87, 89.59]",3,wrong_first_pick,manual,"[23.38, 41.87, 89.59]",2020-10-30T12:04:24.760000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viqle,HL.PRK,noa2020viqle,100.0,30.003861,46.840802,149.61283497674,unknown,unknown,False,unlabelled_arrival,-0.8296971912774467,-0.363861,2.319198,"[31.4, 44.06, 49.83, 86.3, 95.53]",4,wrong_first_pick,manual,"[31.4, 44.06, 86.3, 95.53]",2020-10-30T12:04:38.930000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viqwf,HT.CHOS,noa2020viqwf,100.0,30.002814,40.042141,84.13802948821561,unknown,unknown,False,unlabelled_arrival,-0.4684875753296929,0.41718600000000094,0.21785899999999714,"[20.71, 40.67, 96.93, 108.22]",3,wrong_first_pick,manual,"[20.71, 96.93, 108.22]",2020-10-30T12:17:03.530000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020viqxp,HT.CHOS,noa2020viqxp,100.0,29.999468,,78.72535896450331,unknown,unknown,False,unlabelled_arrival,,0.43053199999999947,,"[14.26, 31.11, 35.5, 41.15]",4,wrong_first_pick,manual,"[14.26, 31.11, 35.5, 41.15]",2020-10-30T12:18:53.660000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020viqxp,KO.DKL,noa2020viqxp,50.0,29.993064,48.228613,149.03601138200193,unknown,unknown,False,unlabelled_arrival,0.6319790124604161,0.046935999999998756,0.3913869999999946,"[28.42, 30.68, 49.38, 104.56]",2,second_event,manual,"[28.42, 104.56]",2020-10-30T12:19:05.260000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020viqxp,HL.PRK,noa2020viqxp,100.0,30.004412,49.058222,165.22853742155033,unknown,unknown,False,unlabelled_arrival;c2_p;c2_s,-0.32020339625020355,0.8455880000000029,3.171777999999996,"[31.12, 52.54, 104.84]",3,wrong_first_pick,unknown,"[31.12, 52.54, 104.84]",2020-10-30T12:19:07.080000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020virax,HT.CHOS,noa2020virax,100.0,29.996262,41.180256,97.05644976078818,unknown,unknown,False,unlabelled_arrival;c2_s,-0.7362828413571911,-0.056262000000000256,0.819744,"[30.44, 42.25, 74.57, 93.7]",2,second_event,manual,"[74.57, 93.7]",2020-10-30T12:22:37.050000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:KO.DKL:noa2020virax,KO.DKL,noa2020virax,50.0,29.992271,45.293073,130.86112108640484,unknown,unknown,False,unlabelled_arrival;c2_p,-0.31557867258722183,1.7677290000000028,1.8069270000000017,"[11.28, 48.9]",2,wrong_first_pick,unknown,"[11.28, 48.9]",2020-10-30T12:22:42.200000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HT.CHOS:noa2020virka,HT.CHOS,noa2020virka,100.0,30.004589,40.293339,90.28510534299707,unknown,unknown,False,unlabelled_arrival;c2_s,-0.8911678594844545,-0.15458899999999787,2.216660999999995,"[29.88, 42.72, 79.48, 109.55]",2,second_event,manual,"[79.48, 109.55]",2020-10-30T12:33:08.290000+00:00
samos_2020,samos_2020:20201030T120127_20201030T150127:HL.PRK:noa2020virka,HL.PRK,noa2020virka,100.0,30.00438,,168.17952141792884,unknown,unknown,False,unlabelled_arrival,,1.6356199999999994,,"[32.74, 35.29, 54.66, 92.27]",4,wrong_first_pick,manual,"[32.74, 35.29, 54.66, 92.27]",2020-10-30T12:33:17.800000+00:00
