station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
NZ.BSWZ,NZ,BSWZ,EH,100.0,-41.714915447,173.875740852,277.0,129.3153293963903,GEONET,80,99,179,True
NZ.TUWZ,NZ,TUWZ,EH,100.0,-41.429388947,173.942892947,132.0,159.53221880355466,GEONET,71,96,167,True
NZ.TCW,NZ,TCW,EH,100.0,-41.210364716,174.276328104,197.0,194.57218997258676,GEONET,62,84,146,True
NZ.THZ,NZ,THZ,HH,100.0,-41.762474128,172.905218304,747.0,103.56367727128476,GEONET,48,63,111,True
NZ.CMWZ,NZ,CMWZ,EH,100.0,-41.749017075,174.213825009,281.0,143.56173586188487,GEONET,51,58,109,True
NZ.KHZ,NZ,KHZ,HH,100.0,-42.41598,173.53897,64.0,52.29939714024989,GEONET,45,58,103,True
NZ.GVZ,NZ,GVZ,HH,100.0,-42.967365,173.03475,400.5,30.863660393810814,GEONET,44,49,93,False
NZ.NNZ,NZ,NNZ,HH,100.0,-41.217102661,173.379476754,130.0,166.4467395296883,GEONET,40,50,90,False
NZ.LTZ,NZ,LTZ,HH,100.0,-42.781667157,172.27103538,648.0,62.009602865586416,GEONET,38,49,87,False
NZ.WEL,NZ,WEL,HH,100.0,-41.284047578,174.768184021,138.0,212.8596627644151,GEONET,34,51,85,False
NZ.MSWZ,NZ,MSWZ,EH,100.0,-41.415831739,175.249459591,403.0,232.26254994125304,GEONET,30,53,83,False
NZ.CAW,NZ,CAW,EH,100.0,-41.107194232,175.066438523,283.0,244.23518804367964,GEONET,37,46,83,False
NZ.MRNZ,NZ,MRNZ,EH,100.0,-41.39903,172.75766,319.0,145.16802573590877,GEONET,28,49,77,False
NZ.DUWZ,NZ,DUWZ,EH,100.0,-40.801714607,173.921645369,484.0,222.8807481844945,GEONET,33,42,75,False
NZ.BHW,NZ,BHW,HH,100.0,-41.408230683,174.871114813,101.0,208.96826160702335,GEONET,44,25,69,False
NZ.KIW,NZ,KIW,EH,100.0,-40.8608783,174.909727546,381.0,256.7290590574628,GEONET,27,39,66,False
NZ.PLWZ,NZ,PLWZ,EH,100.0,-41.569175315,175.254789034,638.0,222.4554712804952,GEONET,33,31,64,False
NZ.OGWZ,NZ,OGWZ,EH,100.0,-40.816687916,175.170301006,206.0,274.2074852090801,GEONET,22,30,52,False
NZ.PAWZ,NZ,PAWZ,EH,100.0,-41.381561353,175.426891986,567.0,246.30688769710952,GEONET,24,26,50,False
NZ.AMCZ,NZ,AMCZ,EH,100.0,-43.17654,172.65146,179.0,61.86055999912524,GEONET,25,24,49,False
NZ.MQZ,NZ,MQZ,HH,100.0,-43.706081677,172.653765807,57.0,116.81272021537777,GEONET,16,28,44,False
NZ.TKNZ,NZ,TKNZ,EH,100.0,-41.03355,172.96053,422.0,184.2464869792678,GEONET,17,25,42,False
NZ.QRZ,NZ,QRZ,HH,100.0,-40.825521618,172.529147829,263.0,211.2701292793144,GEONET,14,23,37,False
NZ.OXZ,NZ,OXZ,HH,100.0,-43.3259,172.0383,360.0,106.6318052347977,GEONET,16,19,35,False
NZ.MTW,NZ,MTW,EH,100.0,-41.157926389,175.501573829,311.0,266.7494687149635,GEONET,15,20,35,False
NZ.INZ,NZ,INZ,HH,100.0,-42.7245,171.4441,165.0,128.81513014145798,GEONET,15,17,32,False
NZ.RACZ,NZ,RACZ,EH,100.0,-43.72709,172.13956,86.0,135.60255694320878,GEONET,10,14,24,False
NZ.AKCZ,NZ,AKCZ,EH,100.0,-43.8721,172.90983,374.2,131.7398437748851,GEONET,8,15,23,False
NZ.TRWZ,NZ,TRWZ,EH,100.0,-41.398042326,175.68789524,379.0,262.9745074660056,GEONET,13,10,23,False
NZ.RPZ,NZ,RPZ,HH,100.0,-43.714607582,171.053864882,453.0,195.88318762621896,GEONET,7,8,15,False
NZ.DSZ,NZ,DSZ,HH,100.0,-41.744960821,171.804614445,650.0,145.1115540519955,GEONET,7,5,12,False
NZ.MHCZ,NZ,MHCZ,EH,100.0,-43.53165,171.56788,648.0,150.500350684849,GEONET,6,5,11,False
NZ.WVZ,NZ,WVZ,HH,100.0,-43.074350291,170.73675416,91.0,190.8663809738883,GEONET,4,7,11,False
NZ.ARCZ,NZ,ARCZ,EH,100.0,-43.94705,171.17674,462.0,204.36873540599325,GEONET,4,6,10,False
NZ.WACZ,NZ,WACZ,EH,100.0,-43.9425317,171.839105,97.9,168.8817835754232,GEONET,4,4,8,False
NZ.OKCZ,NZ,OKCZ,EH,100.0,-43.72325,173.05951,492.1,114.93167834905552,GEONET,2,3,5,False
NZ.GCSZ,NZ,GCSZ,EH,100.0,-43.31601,170.32673,210.0,229.7865954007119,GEONET,3,2,5,False
NZ.FOZ,NZ,FOZ,HH,100.0,-43.532099313,169.815479827,54.0,276.4338084380847,GEONET,3,1,4,False
NZ.CVZ,NZ,CVZ,HH,100.0,-44.38318,171.00616,454.0,248.566085326308,GEONET,2,0,2,False
